;EVI;NDVI;millis;sur_refl_b01;sur_refl_b02;sur_refl_b03;sur_refl_b07;system:index;Timestamp;Year;Month;Day;DOY
0;1683.6000000000001;0.2955630434782609;1664496000000;1295.921739130435;2378.8347826086956;540.8652173913044;2468.169565217391;2022_09_30;2022-09-30;2022;9;30;273
1;1954.9869565217393;0.3571134782608696;1665878400000;1055.8478260869565;2224.917391304348;475.1217391304348;2173.7565217391307;2022_10_16;2022-10-16;2022;10;16;289
2;2494.5869565217395;0.4310495652173913;1667260800000;1015.1739130434783;2552.74347826087;430.804347826087;2179.547826086957;2022_11_01;2022-11-01;2022;11;1;305
3;2947.4956521739127;0.49007695652173927;1668643200000;956.4565217391305;2794.504347826087;392.3217391304348;2227.573913043478;2022_11_17;2022-11-17;2022;11;17;321
4;3182.6869565217394;0.5108608695652175;1670025600000;996.6217391304349;3032.582608695652;414.7521739130435;2195.8521739130438;2022_12_03;2022-12-03;2022;12;3;337
5;3586.321739130435;0.6237834782608696;1671408000000;617.9478260869566;2667.047826086957;278.4130434782609;1403.2478260869566;2022_12_19;2022-12-19;2022;12;19;353
6;3174.586956521739;0.5756108695652175;1672531200000;654.6826086956522;2447.621739130435;306.37391304347835;1038.2782608695654;2023_01_01;2023-01-01;2023;1;1;1
7;3317.339130434783;0.5465165217391306;1673913600000;815.9782608695654;2782.034782608696;382.1;1529.7434782608698;2023_01_17;2023-01-17;2023;1;17;17
8;3898.526086956522;0.6193669565217391;1675296000000;742.7956521739131;3133.3695652173915;335.6739130434783;1229.6565217391305;2023_02_02;2023-02-02;2023;2;2;33
9;3252.095652173913;0.5982565217391305;1676678400000;612.7260869565217;2435.739130434783;279.5260869565218;1105.9434782608696;2023_02_18;2023-02-18;2023;2;18;49
10;3235.239130434783;0.6162617391304348;1678060800000;553.3434782608696;2332.3739130434788;254.73478260869567;1111.2782608695652;2023_03_06;2023-03-06;2023;3;6;65
11;2948.7173913043484;0.5748665217391306;1679443200000;602.3391304347826;2231.74347826087;270.81739130434784;1091.0478260869565;2023_03_22;2023-03-22;2023;3;22;81
12;3289.3130434782615;0.5557578260869567;1680825600000;770.4434782608696;2698.356521739131;355.90434782608696;1230.417391304348;2023_04_07;2023-04-07;2023;4;7;97
13;2628.3304347826092;0.46845434782608697;1682208000000;863.1347826086958;2385.317391304348;411.58260869565225;1486.5782608695654;2023_04_23;2023-04-23;2023;4;23;113
14;2202.3;0.45463608695652186;1683590400000;743.6260869565218;1984.321739130435;315.88260869565215;1318.3347826086956;2023_05_09;2023-05-09;2023;5;9;129
15;2250.713043478261;0.4179678260869566;1684972800000;924.4434782608696;2249.191304347826;412.38695652173914;1766.2826086956522;2023_05_25;2023-05-25;2023;5;25;145
16;1596.517391304348;0.32352565217391305;1686355200000;999.0739130434783;1955.3347826086958;397.54782608695655;1859.9565217391305;2023_06_10;2023-06-10;2023;6;10;161
17;1388.1521739130435;0.2821417391304348;1687737600000;1051.8565217391306;1879.1826086956523;439.73043478260877;1831.2217391304348;2023_06_26;2023-06-26;2023;6;26;177
18;1442.3217391304347;0.2701213043478261;1689120000000;1216.2956521739131;2117.130434782609;507.8869565217392;1981.7521739130436;2023_07_12;2023-07-12;2023;7;12;193
19;1361.804347826087;0.2664117391304348;1690502400000;1143.3739130434783;1973.7739130434784;479.2956521739131;2037.234782608696;2023_07_28;2023-07-28;2023;7;28;209
